model,train_time,f1_score,precision,recall,accuracy
logistic_regression,125.1532392501831,0.6616835552118014,0.6617829557490815,0.6616648078677887,0.6616648078677887
random_forest,762.3490736484528,0.6610846954713292,0.6617692828472382,0.6611578627192538,0.6611578627192538
svm_model,550.4707863330841,0.6610846954713292,0.6617692828472382,0.6611578627192538,0.6611578627192538
word2vec_rf,326.43546748161316,0.7825873315452889,0.7833180190768221,0.7826219203082226,0.7826219203082226
